,Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Sex,Display Value,Numeric,Low,High,Comments
278,Life expectancy at birth (years),Published,2012,Africa,Low-income,United Republic of Tanzania,Both sexes,61,61.0,,,
279,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,United Republic of Tanzania,Male,15,15.0,,,
280,Life expectancy at birth (years),Published,2000,Africa,Low-income,Uganda,Female,46,46.0,,,
281,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Uganda,Female,16,16.0,,,
282,Life expectancy at birth (years),Published,2000,Europe,Low-income,Uzbekistan,Female,69,69.0,,,
283,Life expectancy at age 60 (years),Published,2000,Europe,Low-income,Uzbekistan,Female,18,18.0,,,
284,Life expectancy at birth (years),Published,1990,Western Pacific,Low-income,Viet Nam,Male,66,66.0,,,
285,Life expectancy at birth (years),Published,2000,Western Pacific,Low-income,Viet Nam,Male,69,69.0,,,
286,Life expectancy at birth (years),Published,2012,Western Pacific,Low-income,Viet Nam,Male,71,71.0,,,
287,Life expectancy at age 60 (years),Published,2012,Western Pacific,Low-income,Viet Nam,Both sexes,22,22.0,,,
288,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Low-income,Yemen,Both sexes,58,58.0,,,
289,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Low-income,Yemen,Both sexes,64,64.0,,,
290,Life expectancy at birth (years),Published,1990,Africa,Low-income,Zambia,Both sexes,43,43.0,,,
291,Life expectancy at birth (years),Published,2000,Africa,Low-income,Zambia,Both sexes,41,41.0,,,
292,Life expectancy at birth (years),Published,2012,Africa,Low-income,Zambia,Both sexes,57,57.0,,,
293,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Zambia,Female,16,16.0,,,
294,Life expectancy at birth (years),Published,2012,Africa,Low-income,Zimbabwe,Female,60,60.0,,,
295,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Zimbabwe,Male,17,17.0,,,
296,Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Angola,Male,50,50.0,,,
297,Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Angola,Both sexes,46,46.0,,,
298,Life expectancy at age 60 (years),Published,2000,Africa,Lower-middle-income,Angola,Both sexes,15,15.0,,,
299,Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Albania,Male,67,67.0,,,
300,Life expectancy at birth (years),Published,2012,Europe,Lower-middle-income,Albania,Both sexes,74,74.0,,,
301,Life expectancy at age 60 (years),Published,2000,Europe,Lower-middle-income,Albania,Both sexes,17,17.0,,,
302,Life expectancy at age 60 (years),Published,2012,Europe,Lower-middle-income,Albania,Both sexes,19,19.0,,,
303,Life expectancy at birth (years),Published,2000,Europe,Lower-middle-income,Armenia,Female,74,74.0,,,
304,Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Armenia,Both sexes,67,67.0,,,
305,Life expectancy at age 60 (years),Published,2012,Europe,Lower-middle-income,Armenia,Female,19,19.0,,,
306,Life expectancy at age 60 (years),Published,1990,Europe,Lower-middle-income,Armenia,Both sexes,16,16.0,,,
307,Life expectancy at age 60 (years),Published,2000,Europe,Lower-middle-income,Azerbaijan,Male,16,16.0,,,
308,Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Belize,Female,74,74.0,,,
309,Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Belize,Both sexes,75,75.0,,,
310,Life expectancy at age 60 (years),Published,1990,Americas,Lower-middle-income,Belize,Male,18,18.0,,,
311,Life expectancy at age 60 (years),Published,2000,Americas,Lower-middle-income,Belize,Male,17,17.0,,,
312,Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Bolivia (Plurinational State of),Male,61,61.0,,,
313,Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Bolivia (Plurinational State of),Both sexes,58,58.0,,,
314,Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Bolivia (Plurinational State of),Both sexes,68,68.0,,,
315,Life expectancy at age 60 (years),Published,1990,Americas,Lower-middle-income,Bolivia (Plurinational State of),Male,16,16.0,,,
316,Life expectancy at age 60 (years),Published,2012,Americas,Lower-middle-income,Bolivia (Plurinational State of),Female,20,20.0,,,
317,Life expectancy at age 60 (years),Published,1990,Americas,Lower-middle-income,Bolivia (Plurinational State of),Both sexes,17,17.0,,,
318,Life expectancy at age 60 (years),Published,1990,South-East Asia,Lower-middle-income,Bhutan,Female,16,16.0,,,
319,Life expectancy at age 60 (years),Published,2000,South-East Asia,Lower-middle-income,Bhutan,Female,17,17.0,,,
320,Life expectancy at age 60 (years),Published,2012,South-East Asia,Lower-middle-income,Bhutan,Female,19,19.0,,,
321,Life expectancy at age 60 (years),Published,1990,South-East Asia,Lower-middle-income,Bhutan,Both sexes,16,16.0,,,
322,Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,China,Male,74,74.0,,,
323,Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,China,Female,73,73.0,,,
324,Life expectancy at age 60 (years),Published,1990,Western Pacific,Lower-middle-income,China,Female,19,19.0,,,
325,Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Côte d'Ivoire,Male,50,50.0,,,
326,Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Côte d'Ivoire,Male,52,52.0,,,
327,Life expectancy at age 60 (years),Published,2000,Africa,Lower-middle-income,Côte d'Ivoire,Male,15,15.0,,,
328,Life expectancy at age 60 (years),Published,2012,Africa,Lower-middle-income,Côte d'Ivoire,Male,15,15.0,,,
329,Life expectancy at age 60 (years),Published,1990,Africa,Lower-middle-income,Côte d'Ivoire,Female,17,17.0,,,
330,Life expectancy at age 60 (years),Published,2012,Africa,Lower-middle-income,Côte d'Ivoire,Both sexes,16,16.0,,,
331,Life expectancy at age 60 (years),Published,2000,Africa,Lower-middle-income,Cameroon,Male,15,15.0,,,
332,Life expectancy at age 60 (years),Published,2012,Africa,Lower-middle-income,Cameroon,Both sexes,16,16.0,,,
333,Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Congo,Both sexes,52,52.0,,,
334,Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Congo,Both sexes,59,59.0,,,
335,Life expectancy at age 60 (years),Published,2000,Africa,Lower-middle-income,Congo,Female,17,17.0,,,
336,Life expectancy at age 60 (years),Published,1990,Africa,Lower-middle-income,Congo,Both sexes,16,16.0,,,
337,Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Cabo Verde,Female,68,68.0,,,
338,Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Cabo Verde,Female,78,78.0,,,
339,Life expectancy at age 60 (years),Published,1990,Africa,Lower-middle-income,Cabo Verde,Female,18,18.0,,,
340,Life expectancy at age 60 (years),Published,2000,Africa,Lower-middle-income,Cabo Verde,Female,19,19.0,,,
341,Life expectancy at age 60 (years),Published,2012,Africa,Lower-middle-income,Cabo Verde,Female,22,22.0,,,
342,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Djibouti,Female,59,59.0,,,
343,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Djibouti,Male,15,15.0,,,
344,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Djibouti,Both sexes,16,16.0,,,
345,Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Ecuador,Male,67,67.0,,,
346,Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Ecuador,Both sexes,73,73.0,,,
347,Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Ecuador,Both sexes,75,75.0,,,
348,Life expectancy at age 60 (years),Published,1990,Americas,Lower-middle-income,Ecuador,Male,19,19.0,,,
349,Life expectancy at age 60 (years),Published,1990,Americas,Lower-middle-income,Ecuador,Both sexes,20,20.0,,,
350,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Egypt,Female,74,74.0,,,
351,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Egypt,Both sexes,71,71.0,,,
352,Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Micronesia (Federated States of),Female,67,67.0,,,
353,Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Micronesia (Federated States of),Both sexes,66,66.0,,,
354,Life expectancy at age 60 (years),Published,2012,Western Pacific,Lower-middle-income,Micronesia (Federated States of),Female,18,18.0,,,
355,Life expectancy at age 60 (years),Published,1990,Western Pacific,Lower-middle-income,Micronesia (Federated States of),Both sexes,17,17.0,,,
356,Life expectancy at age 60 (years),Published,2012,Europe,Lower-middle-income,Georgia,Male,17,17.0,,,
357,Life expectancy at age 60 (years),Published,1990,Europe,Lower-middle-income,Georgia,Female,20,20.0,,,
358,Life expectancy at age 60 (years),Published,2000,Europe,Lower-middle-income,Georgia,Female,20,20.0,,,
359,Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Guatemala,Male,68,68.0,,,
360,Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Guyana,Both sexes,65,65.0,,,
361,Life expectancy at age 60 (years),Published,1990,Americas,Lower-middle-income,Guyana,Both sexes,16,16.0,,,
362,Life expectancy at age 60 (years),Published,2000,Americas,Lower-middle-income,Guyana,Both sexes,17,17.0,,,
363,Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Honduras,Both sexes,71,71.0,,,
364,Life expectancy at age 60 (years),Published,1990,Americas,Lower-middle-income,Honduras,Female,20,20.0,,,
365,Life expectancy at age 60 (years),Published,2000,Americas,Lower-middle-income,Honduras,Female,22,22.0,,,
366,Life expectancy at age 60 (years),Published,1990,Americas,Lower-middle-income,Honduras,Both sexes,19,19.0,,,
367,Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,Indonesia,Male,69,69.0,,,
368,Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Indonesia,Female,64,64.0,,,
369,Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,Indonesia,Female,73,73.0,,,
370,Life expectancy at age 60 (years),Published,2000,South-East Asia,Lower-middle-income,Indonesia,Male,16,16.0,,,
371,Life expectancy at age 60 (years),Published,1990,South-East Asia,Lower-middle-income,Indonesia,Female,17,17.0,,,
372,Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,India,Male,64,64.0,,,
373,Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,India,Both sexes,66,66.0,,,
374,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Iran (Islamic Republic of),Both sexes,64,64.0,,,
375,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Iran (Islamic Republic of),Male,18,18.0,,,
376,Life expectancy at age 60 (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Iran (Islamic Republic of),Both sexes,16,16.0,,,
377,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Jordan,Male,18,18.0,,,
378,Life expectancy at age 60 (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Jordan,Female,18,18.0,,,
379,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Jordan,Female,19,19.0,,,
380,Life expectancy at age 60 (years),Published,1990,Western Pacific,Lower-middle-income,Kiribati,Male,15,15.0,,,
381,Life expectancy at age 60 (years),Published,2012,Western Pacific,Lower-middle-income,Kiribati,Male,16,16.0,,,
382,Life expectancy at age 60 (years),Published,2012,Western Pacific,Lower-middle-income,Kiribati,Both sexes,17,17.0,,,
383,Life expectancy at age 60 (years),Published,1990,South-East Asia,Lower-middle-income,Sri Lanka,Male,18,18.0,,,
384,Life expectancy at age 60 (years),Published,1990,South-East Asia,Lower-middle-income,Sri Lanka,Both sexes,19,19.0,,,
385,Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Lesotho,Male,59,59.0,,,
386,Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Lesotho,Both sexes,48,48.0,,,
387,Life expectancy at age 60 (years),Published,2000,Africa,Lower-middle-income,Lesotho,Female,17,17.0,,,
388,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Morocco,Female,66,66.0,,,
389,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Morocco,Female,70,70.0,,,
390,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Morocco,Female,73,73.0,,,
391,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Morocco,Female,18,18.0,,,
392,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Morocco,Female,19,19.0,,,
393,Life expectancy at birth (years),Published,2000,Europe,Lower-middle-income,Republic of Moldova,Male,64,64.0,,,
394,Life expectancy at birth (years),Published,2012,Europe,Lower-middle-income,Republic of Moldova,Male,66,66.0,,,
395,Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Republic of Moldova,Female,72,72.0,,,
396,Life expectancy at age 60 (years),Published,1990,Europe,Lower-middle-income,Republic of Moldova,Female,19,19.0,,,
397,Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Maldives,Male,60,60.0,,,
398,Life expectancy at age 60 (years),Published,2000,South-East Asia,Lower-middle-income,Maldives,Male,16,16.0,,,
399,Life expectancy at age 60 (years),Published,2012,South-East Asia,Lower-middle-income,Maldives,Male,20,20.0,,,
400,Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Marshall Islands,Both sexes,66,66.0,,,
401,Life expectancy at age 60 (years),Published,2000,Western Pacific,Lower-middle-income,Marshall Islands,Both sexes,17,17.0,,,
402,Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Mongolia,Both sexes,63,63.0,,,
403,Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Nicaragua,Male,70,70.0,,,
404,Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Nicaragua,Male,70,70.0,,,
405,Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Nicaragua,Female,74,74.0,,,
406,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Pakistan,Male,59,59.0,,,
407,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Pakistan,Both sexes,60,60.0,,,
408,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Pakistan,Both sexes,65,65.0,,,
409,Life expectancy at birth (years),Published,2000,Europe,High-income,Andorra,Female,83,83.0,,,
410,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,United Arab Emirates,Female,75,75.0,,,
411,Life expectancy at age 60 (years),Published,1990,Eastern Mediterranean,High-income,United Arab Emirates,Female,18,18.0,,,
412,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,High-income,United Arab Emirates,Female,19,19.0,,,
413,Life expectancy at birth (years),Published,1990,Americas,High-income,Antigua and Barbuda,Male,70,70.0,,,
414,Life expectancy at birth (years),Published,2012,Americas,High-income,Antigua and Barbuda,Male,73,73.0,,,
415,Life expectancy at birth (years),Published,1990,Americas,High-income,Antigua and Barbuda,Female,72,72.0,,,
416,Life expectancy at age 60 (years),Published,2000,Americas,High-income,Antigua and Barbuda,Male,20,20.0,,,
417,Life expectancy at age 60 (years),Published,1990,Americas,High-income,Antigua and Barbuda,Female,18,18.0,,,
418,Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Australia,Male,74,74.0,,,
419,Life expectancy at birth (years),Published,2000,Western Pacific,High-income,Australia,Male,77,77.0,,,
420,Life expectancy at age 60 (years),Published,1990,Western Pacific,High-income,Australia,Male,19,19.0,,,
